bin	start_timestamp	target	pid_set	valid_samples	glibc_median_kb	glibc_min_kb	glibc_max_kb	other_anon_median_kb	file_backed_median_kb	MemAvailable_median_kb	zram_used_median_kb
7	2026-08-13T23:22:39,752653833-0700	cynara	205	15	1648	1648	1648	1032	212	1043132	79504
7	2026-08-13T23:22:39,752653833-0700	ServiceH	719	15	3964	3964	3964	4004	3040	1043132	79504
7	2026-08-13T23:22:39,752653833-0700	enlightenment	258	15	2716	2716	2716	968	3036	1043132	79504
7	2026-08-13T23:22:39,752653833-0700	ServiceD	1037	15	588	588	588	2128	3224	1043132	79504
7	2026-08-13T23:22:39,752653833-0700	systemd	1	15	1144	1144	1144	164	440	1043132	79504
7	2026-08-13T23:22:39,752653833-0700	ServiceE	404	15	7804	7804	7804	2808	7800	1043132	79504
8	2026-08-13T23:23:09,753301075-0700	AppProcA	2724	15	1212	1212	1212	3644	3732	1043900	79504
8	2026-08-13T23:23:09,753301075-0700	AppProcB	896	15	6852	6852	6852	11780	6416	1043900	79504
8	2026-08-13T23:23:09,753301075-0700	AppProcD	424	15	12680	12680	12684	18700	5140	1043900	79504
8	2026-08-13T23:23:09,753301075-0700	buxton2d_worker	229	15	1212	1212	1212	32	440	1043900	79504
8	2026-08-13T23:23:09,753301075-0700	cynara	205	15	1648	1648	1648	1032	212	1043900	79504
8	2026-08-13T23:23:09,753301075-0700	ServiceH	719	15	3964	3964	3964	4004	3040	1043900	79504
8	2026-08-13T23:23:09,753301075-0700	enlightenment	258	15	2700	2700	2716	968	3036	1043900	79504
8	2026-08-13T23:23:09,753301075-0700	ServiceD	1037	15	588	588	588	2128	3224	1043900	79504
8	2026-08-13T23:23:09,753301075-0700	systemd	1	15	1144	1144	1144	164	440	1043900	79504
8	2026-08-13T23:23:09,753301075-0700	ServiceE	404	15	7804	7804	7804	2808	7800	1043900	79504
9	2026-08-13T23:23:39,751901735-0700	AppProcA	2724	15	1212	1212	1212	3644	3732	1044420	79504
9	2026-08-13T23:23:39,751901735-0700	AppProcB	896	15	6852	6852	6852	11780	6416	1044420	79504
9	2026-08-13T23:23:39,751901735-0700	AppProcD	424	15	12680	12680	12680	18696	5140	1044420	79504
9	2026-08-13T23:23:39,751901735-0700	buxton2d_worker	229	15	1212	1212	1212	32	440	1044420	79504
9	2026-08-13T23:23:39,751901735-0700	cynara	205	15	1648	1648	1648	1032	212	1044420	79504
9	2026-08-13T23:23:39,751901735-0700	ServiceH	719	15	3964	3964	3964	4004	3040	1044420	79504
9	2026-08-13T23:23:39,751901735-0700	enlightenment	258	15	2700	2700	2700	968	3036	1044420	79504
9	2026-08-13T23:23:39,751901735-0700	ServiceD	1037	15	588	588	588	2128	3224	1044420	79504
9	2026-08-13T23:23:39,751901735-0700	systemd	1	15	1144	1144	1144	164	440	1044420	79504
9	2026-08-13T23:23:39,751901735-0700	ServiceE	404	15	7804	7804	7804	2808	7800	1044420	79504
10	2026-08-13T23:24:09,755410728-0700	AppProcA	2724	15	1212	1212	1212	3644	3732	1045296	79504
10	2026-08-13T23:24:09,755410728-0700	AppProcB	896	15	6852	6852	6852	11780	6416	1045296	79504
10	2026-08-13T23:24:09,755410728-0700	AppProcD	424	15	12676	12676	12680	18696	5140	1045296	79504
10	2026-08-13T23:24:09,755410728-0700	buxton2d_worker	229	15	1212	1212	1212	32	440	1045296	79504
10	2026-08-13T23:24:09,755410728-0700	cynara	205	15	1648	1648	1648	1032	212	1045296	79504
10	2026-08-13T23:24:09,755410728-0700	ServiceH	719	15	3964	3964	3964	4004	3040	1045296	79504
10	2026-08-13T23:24:09,755410728-0700	enlightenment	258	15	2688	2688	2700	968	3036	1045296	79504
10	2026-08-13T23:24:09,755410728-0700	ServiceD	1037	15	588	588	588	2128	3224	1045296	79504
10	2026-08-13T23:24:09,755410728-0700	systemd	1	15	1144	1144	1144	164	440	1045296	79504
10	2026-08-13T23:24:09,755410728-0700	ServiceE	404	15	7804	7804	7804	2808	7800	1045296	79504
11	2026-08-13T23:24:39,753707887-0700	AppProcA	2724	15	1212	1212	1212	3644	3732	1045376	79504
11	2026-08-13T23:24:39,753707887-0700	AppProcB	896	15	6852	6852	6852	11780	6416	1045376	79504
11	2026-08-13T23:24:39,753707887-0700	AppProcD	424	15	12676	12676	12676	18672	5140	1045376	79504
11	2026-08-13T23:24:39,753707887-0700	buxton2d_worker	229	15	1212	1212	1212	32	440	1045376	79504
11	2026-08-13T23:24:39,753707887-0700	cynara	205	15	1648	1648	1648	1032	212	1045376	79504
11	2026-08-13T23:24:39,753707887-0700	ServiceH	719	15	3964	3964	3964	4004	3040	1045376	79504
11	2026-08-13T23:24:39,753707887-0700	enlightenment	258	15	2688	2688	2688	968	3036	1045376	79504
11	2026-08-13T23:24:39,753707887-0700	ServiceD	1037	15	588	588	588	2128	3224	1045376	79504
11	2026-08-13T23:24:39,753707887-0700	systemd	1	15	1144	1144	1144	164	440	1045376	79504
11	2026-08-13T23:24:39,753707887-0700	ServiceE	404	15	7804	7804	7804	2808	7800	1045376	79504
12	2026-08-13T23:25:09,751275297-0700	AppProcA	2724	15	1212	1212	1212	3644	3732	1045296	79504
12	2026-08-13T23:25:09,751275297-0700	AppProcB	896	15	6852	6852	6852	11780	6416	1045296	79504
12	2026-08-13T23:25:09,751275297-0700	AppProcD	424	15	12676	12676	12676	18672	5140	1045296	79504
12	2026-08-13T23:25:09,751275297-0700	buxton2d_worker	229	15	1212	1212	1212	32	440	1045296	79504
12	2026-08-13T23:25:09,751275297-0700	cynara	205	15	1648	1648	1648	1032	212	1045296	79504
12	2026-08-13T23:25:09,751275297-0700	ServiceH	719	15	3964	3964	3964	4004	3040	1045296	79504
12	2026-08-13T23:25:09,751275297-0700	enlightenment	258	15	2676	2676	2688	968	3036	1045296	79504
12	2026-08-13T23:25:09,751275297-0700	ServiceD	1037	15	588	588	588	2128	3224	1045296	79504
