UID       PID PPID  C STIME TTY          TIME CMD
owner    1758    1  6 20:22 ?        00:01:22 /usr/bin/source-service
root     1773    1  0 20:22 ttyS0    00:00:00 /usr/bin/vddebugmenu
root     1782    1  0 20:22 ?        00:00:00 /usr/bin/was_background_update
root     1974    2  0 20:22 ?        00:00:00 [ecryptfs-kthread]
owner    2027    1  0 20:22 ?        00:00:00 /opt/usr/apps/com.samsung.tv.conte
root     2192 1773  0 20:22 ttyS0    00:00:00 sh
key-man+ 2251    1  0 20:22 ?        00:00:01 /usr/bin/ServiceS
owner    2309    1  0 20:22 ?        00:00:00 /usr/bin/aifw-data-managerd
owner    2332  272  0 20:22 ?        00:00:00 /usr/apps/com.samsung.tv.cis-api-s
owner    2359    1  0 20:22 ?        00:00:00 /usr/bin/sesd
owner    2360  272  0 20:22 ?        00:00:01 /opt/usr/apps/org.tizen.easysetup-
owner    2391    1  0 20:22 ?        00:00:00 /opt/usr/apps/com.samsung.tv.pisa-
owner    2398  272  0 20:22 ?        00:00:03 /opt/usr/apps/com.samsung.tizen.sm
service+ 2414    1  0 20:22 ?        00:00:00 /usr/bin/pushd
root     2473    1  0 20:22 ?        00:00:00 sshd: /usr/sbin/sshd -D [listener]
owner    2477    1  0 20:22 ?        00:00:00 /usr/sbin/user-presence
owner    2489    1  0 20:22 ?        00:00:09 /usr/bin/fw-update-service
root     2882    2  0 20:22 ?        00:00:00 [kworker/R-kbase_event]
root     2920    1  0 20:22 ?        00:00:01 /usr/bin/ServiceR
owner    2984  272  0 20:22 ?        00:00:02 /usr/bin/ServiceH     0      
owner    3048    1  0 20:22 ?        00:00:00 /usr/apps/global-notif-service/bin
owner    3049    1  0 20:22 ?        00:00:01 /usr/apps/org.tizen.webappservice/
owner    3050    1  0 20:22 ?        00:00:00 /usr/apps/org.tizen.webserver/bin/
owner    3051    1  0 20:22 ?        00:00:00 /usr/apps/pvod-appfw/bin/pvodservi
owner    3053    1  0 20:22 ?        00:00:00 /usr/bin/remote-server
owner    3056    1  0 20:22 ?        00:00:00 /usr/bin/msf-server
root     3392    2  0 20:23 ?        00:00:00 [kworker/u33:2-kbase_pm_shader_pow
sdk      3419    1  0 20:23 ?        00:00:00 /usr/sbin/sdbd
owner    3591    1  0 20:24 ?        00:00:00 /usr/bin/SWUAutoUpgrade
root     3771    2  0 20:25 ?        00:00:00 [psimon]
root     3965    2  0 20:27 ?        00:00:05 [kworker/u30:1-kbase_pm_poweroff_w

RC=0
DONE
