sample	actual_stage	timestamp	actual_elapsed_s	pid	glibc_heap_pd_kb	other_anon_pd_kb	file_backed_pd_kb	minflt	majflt	MemAvailable_kb	zram_used_kb
152	R2	2026-08-14T01:58:34,150344688-0700	166.159021	3953	3824	4468	2656	439969	167	782976	92940
153	R2	2026-08-14T01:58:34,820305688-0700	166.829786	3953	3824	4468	2656	439969	167	782488	92940
154	R2	2026-08-14T01:58:35,581673021-0700	167.590119	3953	3824	4468	2656	439969	167	781236	92940
155	R2	2026-08-14T01:58:36,303865604-0700	168.309619	3953	3824	4468	2656	439969	167	781888	92940
156	R2	2026-08-14T01:58:37,043225521-0700	169.053385	3953	3824	4468	2656	439969	167	781372	92940
157	R2	2026-08-14T01:58:37,838566521-0700	169.847631	3953	3824	4468	2656	439969	167	781768	92940
158	R2	2026-08-14T01:58:38,569726437-0700	170.577671	3953	3824	4468	2656	439969	167	782420	92940
159	R2	2026-08-14T01:58:39,380254770-0700	171.387547	3953	3824	4468	2656	439969	167	782888	92940
160	R2	2026-08-14T01:58:40,196592687-0700	172.204160	3953	3824	4468	2656	439969	167	783608	92940
161	R2	2026-08-14T01:58:40,935247770-0700	172.944157	3953	3824	4468	2656	439969	167	785160	92940
162	R2	2026-08-14T01:58:41,631564270-0700	173.642480	3953	3824	4468	2656	439969	167	786264	92940
163	R2	2026-08-14T01:58:42,480999019-0700	174.487725	3953	3824	4468	2656	439969	167	785836	92940
164	R2	2026-08-14T01:58:43,245856519-0700	175.255605	3953	3824	4468	2656	439969	167	787000	92940
165	R2	2026-08-14T01:58:43,974323019-0700	175.980413	3953	3824	4468	2656	439969	167	789432	92940
166	R2	2026-08-14T01:58:44,688228269-0700	176.697541	3953	3824	4468	2656	439969	167	788860	92940
167	R2	2026-08-14T01:58:45,506011185-0700	177.492112	3953	3824	4468	2656	439969	167	786688	92940
168	R2	2026-08-14T01:58:46,287958685-0700	178.297020	3953	3824	4468	2656	439969	167	787440	92940
169	R2	2026-08-14T01:58:47,032952602-0700	179.038106	3953	3824	4468	2656	439969	167	787548	92940
170	R2	2026-08-14T01:58:47,728940685-0700	179.738275	3953	3824	4468	2656	439969	167	787004	92940
171	R3	2026-08-14T01:58:49,243541018-0700	181.245664	3953	4360	4720	2656	440509	167	768376	92940
172	R3	2026-08-14T01:58:50,927596767-0700	182.927980	3953	12612	9716	2684	441207	167	770924	92940
173	R3	2026-08-14T01:58:53,777881683-0700	185.774437	3953	4564	6152	2656	451370	167	770376	92940
174	R3	2026-08-14T01:58:59,561199182-0700	191.518683	3953	3992	4384	2656	451507	167	773852	92940
175	R3	2026-08-14T01:59:01,827967931-0700	193.833393	3953	3992	4384	2656	451507	167	780744	92940
176	R3	2026-08-14T01:59:03,607016931-0700	195.606055	3953	3992	4384	2656	451507	167	782616	92940
177	R3	2026-08-14T01:59:05,756289597-0700	197.761101	3953	3992	4384	2656	451507	167	783552	92940
178	R3	2026-08-14T01:59:07,678968430-0700	199.677850	3953	3992	4384	2656	451507	167	783764	92940
179	R3	2026-08-14T01:59:09,817565013-0700	201.812337	3953	3992	4384	2656	451507	167	789748	92940
180	R3	2026-08-14T01:59:11,196817429-0700	203.204609	3953	3992	4384	2656	451507	167	787536	92940
181	R3	2026-08-14T01:59:11,988800762-0700	203.990663	3953	3992	4384	2656	451507	167	788748	92940
182	R3	2026-08-14T01:59:12,762011429-0700	204.767887	3953	4052	4276	2656	451507	167	788376	92940
183	R3	2026-08-14T01:59:14,811727595-0700	206.814217	3953	4052	4276	2656	451507	167	764108	92940
184	R3	2026-08-14T01:59:15,824533178-0700	207.829420	3953	4052	4276	2656	451507	167	764796	92940
185	R3	2026-08-14T01:59:16,616035011-0700	208.618696	3953	4052	4276	2656	451507	167	765832	92940
186	R3	2026-08-14T01:59:17,475972344-0700	209.479779	3953	4052	4276	2656	451507	167	767640	92940
187	R3	2026-08-14T01:59:18,769851844-0700	210.769060	3953	4048	4276	2656	451507	167	788964	92940
188	R3	2026-08-14T01:59:19,970156594-0700	211.972604	3953	4048	4276	2656	451507	167	786888	92940
189	R3	2026-08-14T01:59:21,080487427-0700	213.085101	3953	4048	4276	2656	451507	167	784772	92940
190	R3	2026-08-14T01:59:22,260137010-0700	214.269174	3953	4048	4276	2656	451507	167	783848	92940
191	R3	2026-08-14T01:59:23,132127176-0700	215.121471	3953	4048	4276	2656	451507	167	784876	92940
192	R3	2026-08-14T01:59:23,966059593-0700	215.976272	3953	4048	4276	2656	451507	167	785716	92940
193	R3	2026-08-14T01:59:24,678960676-0700	216.689431	3953	4048	4276	2656	451507	167	785436	92940
194	R3	2026-08-14T01:59:25,395505093-0700	217.404992	3953	4048	4276	2656	451507	167	786204	92940
195	R3	2026-08-14T01:59:26,156386842-0700	218.164333	3953	4048	4276	2656	451507	167	786680	92940
196	R3	2026-08-14T01:59:26,929054842-0700	218.939288	3953	4048	4276	2656	451507	167	785600	92940
197	R3	2026-08-14T01:59:27,638374092-0700	219.646195	3953	4048	4276	2656	451507	167	784732	92940
198	R3	2026-08-14T01:59:28,375754175-0700	220.386655	3953	4048	4276	2656	451507	167	785384	92940
199	R3	2026-08-14T01:59:29,147359508-0700	221.156288	3953	4048	4276	2656	451507	167	785284	92940
200	R3	2026-08-14T01:59:29,954535925-0700	221.952603	3953	4048	4276	2656	451507	167	781820	92940
201	R3	2026-08-14T01:59:30,757798008-0700	222.761541	3953	4048	4276	2656	451507	167	781440	92940
202	R3	2026-08-14T01:59:31,475218008-0700	223.481005	3953	4048	4276	2656	451507	167	781180	92940
203	R3	2026-08-14T01:59:32,196583591-0700	224.204026	3953	4048	4276	2656	451507	167	781768	92940
204	R3	2026-08-14T01:59:32,904732007-0700	224.910855	3953	4048	4276	2656	451507	167	781644	92940
205	R3	2026-08-14T01:59:33,682409757-0700	225.692600	3953	4048	4276	2656	451507	167	782148	92940
206	R3	2026-08-14T01:59:34,430728924-0700	226.437769	3953	4048	4276	2656	451507	167	782732	92940
207	R3	2026-08-14T01:59:35,177567007-0700	227.187171	3953	4048	4276	2656	451507	167	782596	92940
208	R3	2026-08-14T01:59:35,874612840-0700	227.884629	3953	4048	4276	2656	451507	167	783852	92940
209	R3	2026-08-14T01:59:36,624928673-0700	228.632368	3953	4048	4276	2656	451507	167	783264	92940
210	R3	2026-08-14T01:59:37,353892840-0700	229.361201	3953	4048	4276	2656	451507	167	783916	92940
211	R3	2026-08-14T01:59:38,098945589-0700	230.106000	3953	4048	4276	2656	451507	167	784544	92940
212	R3	2026-08-14T01:59:38,847047506-0700	230.857396	3953	4048	4276	2656	451507	167	785548	92940
213	R3	2026-08-14T01:59:39,544846006-0700	231.552818	3953	4048	4276	2656	451507	167	784748	92940
214	R3	2026-08-14T01:59:40,382513756-0700	232.391995	3953	4048	4276	2656	451507	167	783796	92940
215	R3	2026-08-14T01:59:41,170506255-0700	233.179328	3953	4048	4276	2656	451507	167	784156	92940
216	R3	2026-08-14T01:59:41,874491005-0700	233.885035	3953	4048	4276	2656	451507	167	784720	92940
217	R3	2026-08-14T01:59:42,564534588-0700	234.571635	3953	4048	4276	2656	451507	167	784924	92940
218	R3	2026-08-14T01:59:43,283624088-0700	235.293294	3953	4048	4276	2656	451507	167	785728	92940
219	R3	2026-08-14T01:59:43,982010005-0700	235.985277	3953	4048	4276	2656	451507	167	785224	92940
220	R3	2026-08-14T01:59:44,730685005-0700	236.738184	3953	4048	4276	2656	451507	167	784700	92940
221	R3	2026-08-14T01:59:45,510731004-0700	237.516313	3953	4048	4276	2656	451507	167	784340	92940
222	R3	2026-08-14T01:59:46,242167754-0700	238.248186	3953	4048	4276	2656	451507	167	784388	92940
223	R3	2026-08-14T01:59:46,960114754-0700	238.969425	3953	4048	4276	2656	451507	167	784116	92940
224	R3	2026-08-14T01:59:47,688162337-0700	239.693719	3953	4048	4276	2656	451507	167	784196	92940
225	R4	2026-08-14T01:59:49,291195753-0700	241.298497	3953	4768	4560	2656	451926	167	754620	92940
226	R4	2026-08-14T01:59:50,816985670-0700	242.826699	3953	10708	9196	2684	452466	167	763432	92940
227	R4	2026-08-14T01:59:54,309606669-0700	246.098079	3953	6772	8144	2656	462129	167	761632	92940
228	R4	2026-08-14T01:59:59,519503834-0700	251.524779	3953	4180	4256	2656	462704	167	767020	92940
229	R4	2026-08-14T02:00:01,526291501-0700	253.536994	3953	4180	4256	2656	462704	167	771092	92940
230	R4	2026-08-14T02:00:03,391190917-0700	255.394414	3953	4180	4256	2656	462704	167	773832	92940
231	R4	2026-08-14T02:00:05,171727916-0700	257.171513	3953	4172	4256	2656	462704	167	777056	92940
232	R4	2026-08-14T02:00:07,347616166-0700	259.344487	3953	4172	4256	2656	462704	167	778268	92940
233	R4	2026-08-14T02:00:09,677054332-0700	261.680507	3953	4172	4256	2656	462704	167	778936	92940
234	R4	2026-08-14T02:00:10,903077082-0700	262.909316	3953	4172	4256	2656	462704	167	780616	92940
235	R4	2026-08-14T02:00:11,699557081-0700	263.698904	3953	4172	4256	2656	462704	167	780320	92940
