UID        PID  PPID  C STIME TTY          TIME CMD
   44     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:49 [khungtaskd]
   45     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:49 [oom_reaper]
   47     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:49 [kworker/R-writeback]
   48     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:49 [kcompactd0]
   49     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:49 [kworker/R-cryptd]
   50     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:49 [kworker/R-kblockd]
   51     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:49 [kworker/R-blkcg_punt_
   54     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:49 [watchdogd]
   57     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:49 [kworker/R-rpciod]
   58     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:49 [kworker/R-xprtiod]
   59     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:49 [kworker/R-cfg80211]
   61     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:48 [kswapd0]
   62     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:48 [kworker/R-nfsiod]
   63     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:48 [kworker/u21:0-hci0]
   64     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:48 [kworker/u22:0]
   65     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:48 [kworker/u23:0]
   66     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:48 [kworker/u24:0]
   67     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:48 [kworker/u25:0]
   68     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:48 [kworker/R-kthrotld]
   77     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:48 [hwrng]
   78     2 ?        Fri Aug 28 15:50:37 2026 10-22:50:48 [kworker/R-iscsi_conn_
   80     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:48 [kworker/R-uas]
   82     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:48 [kworker/R-dm_bufio_ca
   84     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:48 [vchiq-slot/0]
   85     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:48 [vchiq-recy/0]
